Plan,Purpose,Levy,LEVIED,LEVIED Description,PAID,PAID Description,WIK CREDIT,WIK Description,BALANCE,Application ID,Application Description,Short Description,Lots,DECISION,Approval Date,Approval Year,APPLICATION_NO,RAM_PROCESS_CTR,locality,legal_description,formatted_address,Determined By,TR TYPE,CHARGE_TYPE,Initial Balance,Charge Amount,Amount,CHARGE_CTR,Reference
S94-18,Other,S94-18 - Council Admin/Support Facilities,,,-27265.58,0,,,0,DA17/0799,residential flat building in two stages (Stage 1: demolition of existing structures; Stage 2: residential flat building),residential flat building in two stages (Stage 1: demolition,1,Approved,2018-06-19,2018,760446,760446,TWEED HEADS,Lot 1 SP 11781,10 Ivory Crescent TWEED HEADS NSW 2485,Council,PAID,Shirewide,24034.01,27265.58,-27265.58,9342333,
S94-04,Roads,S94-04 - Road Contribution Sector 02,,,-132200,"DA19/0553 (100% EBE Discount) AM,DA19/0553 (40% EMP GEN DEV) AM",,,0,DA19/0553,change of use of tenancy 10 to recreation facility (indoor) and signage,change of use of tenancy 10 to recreation facility (indoor) ,1,Approved,2019-10-31,2019,826564,826564,TWEED HEADS SOUTH,Lot 10 SP 58720,10/12-18 Greenway Drive TWEED HEADS SOUTH NSW 2486,Council,PAID,Sector2_4,132200,132200,-132200,10765018,"DA19/0553 (100% EBE Discount) AM,DA19/0553 (40% EMP GEN DEV) AM"
S94-11,Community Facilities,S94-11 - Library Facilities,126,0,,,,,0,DA21/0867,alterations and additions to existing dwelling including conversion of attached garage to a bedroom and bathroom,alterations and additions to existing dwelling including con,1,Approved,2022-01-28,2022,911802,911802,POTTSVILLE,Lot 2 SP 36537,2/21 Royal Drive POTTSVILLE NSW 2489,Council,LEVIED,ResDevt11,126,126,126,12185928,
S94-26,Open Space,S94-26 - Structured Open Space (Regional),21320,DA16/0029 (as per recalc 12/4/19) AM,,,,,0,DA16/0029,"proposed demolition of existing house, six (6) townhouse development and 7 lot strata subdivision","proposed demolition of existing house, six (6) townhouse dev",1,Approved,2017-04-07,2017,688498,688498,BANORA POINT,"Lot 63 DP 1281084
Being Lots 1-6 SP 104431",63 Sexton Hill Drive BANORA POINT NSW 2486,Council,LEVIED,StrucOS_26,21320,21320,21320,8283083,DA16/0029 (as per recalc 12/4/19) AM
S94-15,Community Facilities,S94-15 - Community Facilities (Shirewide),1411,0,,,,,0,DA15/0410,detached dual occupancy,detached dual occupancy,2,Approved,2015-08-24,2015,665776,665776,TERRANORA,"Lot 404 DP 1144944
Being Lots 1-2 SP 95593",11 Australia Drive TERRANORA NSW 2486,Council,LEVIED,ComFac15,1411,1411,1411,7365691,
S94-18,Other,S94-18 - Council Admin/Support Facilities,377.73,0,,,,,0,DA16/0342,conversion of garage to shop,conversion of garage to shop,1,Approved,2016-06-20,2016,702099,702099,SOUTH MURWILLUMBAH,Lot 2 DP 219431,9-11 Stafford Street SOUTH MURWILLUMBAH NSW 2484,Council,LEVIED,Shirewide,377.73,377.73,377.73,7665838,
S94-04,Roads,S94-04 - Road Contribution Sector 02,,,-1936,0,,,0,DA18/0527,detached dual occupancy,detached dual occupancy,1,Approved,2018-12-12,2018,783447,783447,BANORA POINT,"Lot 160 DP 1057452
Being Lots 1-2 SP 101349",253 Darlington Drive BANORA POINT NSW 2486,Council,PAID,Sector2_4,1936,1936,-1936,9831461,
S94-13,Other,S94-13 - Eviron Cemetery,94,0,,,,,0,DA20/0489,dual occupancy (attached) and strata subdivision,dual occupancy (attached) and strata subdivision,2,Approved,2020-11-24,2020,859303,859303,KINGSCLIFF,Lot 2 DP 26293,30 Boomerang Street KINGSCLIFF NSW 2487,Council,LEVIED,ResDevt13,94,94,94,11438814,
S94-26,Open Space,S94-26 - Casual Open Space (Regional),,,0,DA16/0795 (Contrib being refunded #758240)JT,,,0,DA16/0795,two lot subdivision and use of an existing structure as a dwelling,two lot subdivision and use of an existing structure as a dw,2,DefdComnce,2018-02-22,2018,721192,721192,TERRAGON,Lot 7 DP 1178620,2063 Kyogle Road TERRAGON NSW 2484,Council-Deferred,PAID,CasOS_26,803.72,803.72,0,9216765,DA16/0795 (Contrib being refunded #758240)JT
S94-18,Other,S94-18 - Council Admin/Support Facilities,1935.62,0,,,,,0,DA17/0757,two industrial buildings with 11 units and Torrens Title subdivision to create two lots,two industrial buildings with 11 units and Torrens Title sub,2,Approved,2018-04-06,2018,759172,759172,SOUTH MURWILLUMBAH,Lot 201 DP 1122768,141-161 Lundberg Drive SOUTH MURWILLUMBAH NSW 2484,Council,LEVIED,Shirewide,1935.62,1935.62,1935.62,9259904,
S94-05,Open Space,S94-05 - Casual Open Space (Local),,,-2019,0,,,0,DA19/0101,four townhouses,four townhouses,4,Approved,2019-11-08,2019,805112,805112,TWEED HEADS,Lot 11 DP 1288215,5 First Avenue TWEED HEADS NSW 2485,Council,PAID,CasualOS_5,2019,2019,-2019,10771964,
S94-04,Roads,S94-04 - Road Contribution LCA3,6199,DA16/0031 (as per recalc) KLM,,,,,3099.5,DA16/0031,recreation facility including gym and outdoor swimming pool and signage,recreation facility including gym and outdoor swimming pool ,3,Approved,2016-08-08,2016,688528,688528,POTTSVILLE,Lot 1701 DP 1214550,44 Seabreeze Boulevard POTTSVILLE NSW 2489,Council,LEVIED,LCA-3,3719.4,3719.4,6199,8007615,DA16/0031 (as per recalc) KLM
S94-04,Roads,S94-04 - Road Contribution Sector 06,1569,0,,,,,0,DA17/0020,demolition of existing structures and erection of a dual occupancy (attached) and swimming pool,demolition of existing structures and erection of a dual occ,1,Approved,2017-05-03,2017,729066,729066,KINGSCLIFF,"Lot 30 DP 1254644
Being Lots 1-2 SP 100438",4 Zephyr Street KINGSCLIFF NSW 2487,Council,LEVIED,Sector6_4,1569,1569,1569,8309425,
S94-26,Open Space,S94-26 - Casual Open Space (Regional),367,0,,,,,0,DA17/0211,change of use of one tourist accommodation unit to dual use shop top housing and serviced apartments,change of use of one tourist accommodation unit to dual use ,1,Approved,2017-06-15,2017,738062,738062,TWEED HEADS,Lot 32 SP 79995,32/14-18 Stuart Street TWEED HEADS NSW 2485,Council,LEVIED,CasOS_26,367,367,367,8354267,
S94-04,Roads,S94-04 - Road Contribution Sector 10,46128,DA16/0539 (as per recalc 4/5/20) AM,,,,,0,DA16/0539,"agricultural packing shed, care takers dwelling and office","agricultural packing shed, care takers dwelling and office",1,Approved,2017-06-30,2017,710290,710290,SOUTH MURWILLUMBAH,Lot 6 DP 1141180,13 Quarry Road SOUTH MURWILLUMBAH NSW 2484,Council,LEVIED,Sector10_4,33277.24,33277.24,46128,8364837,DA16/0539 (as per recalc 4/5/20) AM
S94-05,Open Space,S94-05 - Structured Open Space (Local),701.61,0,,,,,701.61,DA20/0238,"two lot subdivision, construction of two dwellings and tree removal as staged development","two lot subdivision, construction of two dwellings and tree ",2,Approved,2021-05-12,2021,850890,850890,FINGAL HEAD,Lot 277 DP 755740,15 Letitia Road FINGAL HEAD NSW 2487,Council,LEVIED,StructOS_5,701.61,701.61,701.61,11612376,
S94-05,Open Space,S94-05 - Structured Open Space (Local),754,DA16/0539 (as per recalc 4/5/20) AM,,,,,0,DA16/0539,"agricultural packing shed, care takers dwelling and office","agricultural packing shed, care takers dwelling and office",1,Approved,2017-06-30,2017,710290,710290,SOUTH MURWILLUMBAH,Lot 6 DP 1141180,13 Quarry Road SOUTH MURWILLUMBAH NSW 2484,Council,LEVIED,StructOS_5,754,754,754,8364839,DA16/0539 (as per recalc 4/5/20) AM
S94-26,Open Space,S94-26 - Casual Open Space (Regional),3962,DA16/0896 (residential/tourist component)JT,,,,,0,DA16/0896,mixed use development including shops and dual use shop top housing and serviced apartments,mixed use development including shops and dual use shop top ,1,Approved,2017-10-11,2017,725441,725441,BOGANGAR,"Lot 101 DP 1257512
Being Lots 1-2 SP 100662",49 Tweed Coast Road BOGANGAR NSW 2488,Council,LEVIED,CasOS_26,3962,3962,3962,9082464,DA16/0896 (residential/tourist component)JT
S94-05,Open Space,S94-05 - Structured Open Space (Local),,,-186,0,,,0,DA16/0736,alterations to dual occupancy unit (unit 2),alterations to dual occupancy unit (unit 2),1,Approved,2017-02-10,2017,718855,718855,TWEED HEADS WEST,Lot 121A DP 30960,13 Gollan Drive TWEED HEADS WEST NSW 2485,Council,PAID,StructOS_5,186,186,-186,8220964,
S94-12,Roads,S94-12 - Bus Shelters,165,0,,,,,0,DA15/0716,demolition of existing dwelling and construction of residential flat building,demolition of existing dwelling and construction of resident,1,Approved,2016-05-16,2016,674777,674777,KINGSCLIFF,"Lot 5 DP 1104481
Being Lots 1-4 SP 99223",4 Hungerford Lane KINGSCLIFF NSW 2487,Council,LEVIED,Over10ET,165,165,165,7631264,
S94-26,Open Space,S94-26 - Structured Open Space (Regional),12653,DA17/0658 (as per recalc 6/12/2021)JT,,,,,0,DA17/0658,multi dwelling housing comprising four townhouses,multi dwelling housing comprising four townhouses,4,Approved,2018-08-16,2018,755996,755996,BANORA POINT,Lot 1 DP 615134,2 Fraser Drive BANORA POINT NSW 2486,Council,LEVIED,StrucOS_26,12653,12653,12653,9708062,DA17/0658 (as per recalc 6/12/2021)JT
S94-04,Roads,S94-04 - Road Contribution Sector 09,,,-45958.99999999999,"DA16/0794 (Stg1 40% EGDev KLM),DA16/0794 (Stg2 40% EGDev KLM),DA16/0794 (Stg 1 40% EMP GEN DEV as per S96) AM,DA16/0794 (Stg 2 40% EMP GEN DEV as per S96) AM,DA16/0794 (Stg 3 40% EMP GEN DEV as per S96) AM",,,74500,DA16/0794,two industrial buildings (staged),two industrial buildings (staged),2,Approved,2017-02-14,2017,721170,721170,SOUTH MURWILLUMBAH,Lot 211 DP 1122768,7-19 Honeyeater Circuit SOUTH MURWILLUMBAH NSW 2484,Council,PAID,Sector9_4,74500,74500,-45958.99999999999,8221227,"DA16/0794 (Stg1 40% EGDev KLM),DA16/0794 (Stg2 40% EGDev KLM),DA16/0794 (Stg 1 40% EMP GEN DEV as per S96) AM,DA16/0794 (Stg 2 40% EMP GEN DEV as per S96) AM,DA16/0794 (Stg 3 40% EMP GEN DEV as per S96) AM"
S94-12,Roads,S94-12 - Bus Shelters,65,0,,,,,65,DA22/0452,two lot subdivision,two lot subdivision,2,Approved,2023-01-20,2023,940169,940169,BANORA POINT,Lot 10 DP 559683,5A Peter Street BANORA POINT NSW 2486,Council,LEVIED,Over10ET,65,65,65,12856231,
S94-04,Roads,S94-04 - Road Contribution Sector 06,1569,DA14/0763 (as per re-calc) SH,,,,,0,DA14/0763,dual occupancy (attached),dual occupancy (attached),2,Approved,2015-02-17,2015,642933,642933,KINGSCLIFF,Lot 32 DP 21680,52 Sutherland Street KINGSCLIFF NSW 2487,Council,LEVIED,Sector6_4,1546,1569,1569,6904268,DA14/0763 (as per re-calc) SH
S94-12,Roads,S94-12 - Bus Shelters,53,DA14/0668 (as per recalc 7/9/18)JT,,,,,53,DA14/0668,dual occupancy,dual occupancy,2,Approved,2015-02-06,2015,639885,639885,TWEED HEADS,Lot 344 DP 249520,27 Leeward Terrace TWEED HEADS NSW 2485,Council,LEVIED,Over10ET,53,53,53,6896957,DA14/0668 (as per recalc 7/9/18)JT
S94-18,Other,S94-18 - Council Admin/Support Facilities,364.6,DA17/0330 (as per recalc 6/5/2019) AM,,,,,0,DA17/0330,"alterations and additions to existing dual occupancy including third storey extension, lift, extension and renovation of second storey and attached balcony and new covered entry to ground floor",alterations and additions to existing dual occupancy includi,2,Approved,2017-10-11,2017,743191,743191,KINGSCLIFF,Lot 13 Sec 5 DP 758571,202 Marine Parade KINGSCLIFF NSW 2487,Council,LEVIED,Shirewide,364.6,364.6,364.6,9082313,DA17/0330 (as per recalc 6/5/2019) AM
S94-07,Drainage,S94-07 - West Kcliff Community Drainage,222.1,0,,,,,222.1,DA22/0808,alterations and additions to an existing dwelling including carport forward of the building line,alterations and additions to an existing dwelling including ,1,Approved,2023-02-27,2023,955038,955038,KINGSCLIFF,Lot 184 DP 852230,23 Monarch Drive KINGSCLIFF NSW 2487,Council,LEVIED,Drainage,222.1,222.1,222.1,12900587,
S94-26,Open Space,S94-26 - Structured Open Space (Regional),,,-3890,0,,,0,DA15/0485,detached dual occupancy,detached dual occupancy,2,Approved,2015-09-23,2015,668103,668103,POTTSVILLE,"Lot 1503 DP 1207462
Being Lots 1-2 SP 93053",9 Bonville Street POTTSVILLE NSW 2489,Council,PAID,StrucOS_26,3890,3890,-3890,7392653,
S94-18,Other,S94-18 - Council Admin/Support Facilities,,,-475.82,0,,,0,DA19/0464,use of an existing cat boarding establishment,use of an existing cat boarding establishment,1,Approved,2019-09-13,2019,823197,823197,UPPER DUROBY,Lot 1 DP 786314,87 Upper Duroby Creek Road UPPER DUROBY NSW 2486,Council,PAID,Shirewide,475.82,475.82,-475.82,10710788,
S94-11,Community Facilities,S94-11 - Library Facilities,,,-4459.23,0,,,739,DA17/0450,4 lot subdivision with 4 attached dual occupancies and 6 pools in 5 stages,4 lot subdivision with 4 attached dual occupancies and 6 poo,4,Approved,2017-11-29,2017,747418,747418,KINGSCLIFF,Lot 56 DP 1145386,Cylinders Drive KINGSCLIFF NSW 2487,Council,PAID,ResDevt11,4928.23,4928.23,-4459.23,9135156,
S94-11,Community Facilities,S94-11 - Library Facilities,27464.92,"DA17/0536 (as per 4.55) 31/8/20 SH,DA17/0536 (as per recalc 17/11/22) AM",,,,,27464.92,DA17/0536,shop top housing and commercial premises,shop top housing and commercial premises,2,Approved,2018-03-08,2018,751142,751142,TWEED HEADS,"Lot 1 Sec 4 DP 4570
Lot 2 Sec 4 DP 4570",79-81 Wharf Street TWEED HEADS NSW 2485,Council,LEVIED,ResDevt11,27464.92,27464.92,27464.92,9231228,"DA17/0536 (as per 4.55) 31/8/20 SH,DA17/0536 (as per recalc 17/11/22) AM"
S94-04,Roads,S94-04 - Road Contribution Sector 02,,,-2088,0,,,0,DA21/0514,"construction of additional dwelling to create dual occupancy, driveway and removal of tree(s)",construction of additional dwelling to create dual occupancy,2,Approved,2022-03-31,2022,900319,900319,BANORA POINT,Lot 14 DP 406401,5 Kittiwake Street BANORA POINT NSW 2486,Council,PAID,Sector2_4,2088,2088,-2088,12246623,
S94-26,Open Space,S94-26 - Structured Open Space (Regional),,,-3872,0,,,0,DA15/0156,two lot subdivision,two lot subdivision,2,Approved,2015-05-05,2015,656473,656473,POTTSVILLE,Lot 438 DP 1175174,6 Toshack Place POTTSVILLE NSW 2489,Council,PAID,StrucOS_26,3872,3872,-3872,6973997,
S94-26,Open Space,S94-26 - Casual Open Space (Regional),,,-910.22,0,,,0,DA18/0141,two lot subdivision,two lot subdivision,2,Approved,2018-05-31,2018,770191,770191,TERRANORA,Lot 2 DP 565260,2-3 Fig Tree Road TERRANORA NSW 2486,Council,PAID,CasOS_26,910.22,910.22,-910.22,9318939,
S94-04,Roads,S94-04 - Road Contribution Sector 07 Duranbah/Caba,104020,DA15/0082 (as per recalc 13/7/17)JT,,,,,0,DA15/0082,subdivision of four lots into 17 lots (Stage 12),subdivision of four lots into 17 lots (Stage 12),17,Approved,2016-05-16,2016,653796,653796,KINGSCLIFF,Lots 57-59 DP 1145386,Cylinders Drive KINGSCLIFF NSW 2487,Council,LEVIED,Sector7_4,104020,104020,104020,7630843,DA15/0082 (as per recalc 13/7/17)JT
S94-26,Open Space,S94-26 - Structured Open Space (Regional),3451,0,,,,,0,DA21/0977,detached two storey dual occupancy,detached two storey dual occupancy,2,Approved,2022-12-16,2022,916688,916688,BOGANGAR,Lot 9 DP 247427,9 Cooley Street BOGANGAR NSW 2488,Council,LEVIED,StrucOS_26,3451,3451,3451,12829624,
S94-05,Open Space,S94-05 - Casual Open Space (Local),5888.75,DA18/0663 (as per recalc 28/6/21) AM,,,,,5888.75,DA18/0663,"mixed use including commercial, office, hotel suites, boarding house and shop top housing","mixed use including commercial, office, hotel suites, boardi",1,Approved,2019-07-09,2019,788521,788521,TWEED HEADS,Lot 4 Sec 5 DP 4043,25 Beryl Street TWEED HEADS NSW 2485,Council,LEVIED,CasualOS_5,5888.75,5888.75,5888.75,10640790,DA18/0663 (as per recalc 28/6/21) AM
S94-26,Open Space,S94-26 - Casual Open Space (Regional),,,-219,0,,,0,DA19/0125,alterations and additions to existing dual occupancy (unit 1),alterations and additions to existing dual occupancy (unit 1,1,Approved,2019-05-30,2019,806058,806058,BOGANGAR,Lot 1 SP 86999,1/6 Banksia Avenue BOGANGAR NSW 2488,Council,PAID,CasOS_26,203,203,-219,9995359,
S94-05,Open Space,S94-05 - Structured Open Space (Local),2313,DA19/0101 (as per recalc 10/12/2021)JT,,,,,0,DA19/0101,four townhouses,four townhouses,4,Approved,2019-11-08,2019,805112,805112,TWEED HEADS,Lot 11 DP 1288215,5 First Avenue TWEED HEADS NSW 2485,Council,LEVIED,StructOS_5,2313,2313,2313,10771965,DA19/0101 (as per recalc 10/12/2021)JT
S94-04,Roads,S94-04 - Road Contribution Sector 06,1799,DA17/0097 (as per recalc) KLM,,,,,0,DA17/0097,detached dual occupancy,detached dual occupancy,2,Approved,2018-04-06,2018,733403,733403,KINGSCLIFF,Lot B DP 101901,18 Boomerang Street KINGSCLIFF NSW 2487,Council,LEVIED,Sector6_4,1587,1587,1799,9259886,DA17/0097 (as per recalc) KLM
S94-13,Other,S94-13 - Eviron Cemetery,,,-81.2,0,,,0,DA15/0979,two lot subdivision,two lot subdivision,2,Approved,2016-03-02,2016,683343,683343,BILAMBIL HEIGHTS,Lot 2 DP 1034976,36 Walmsleys Road BILAMBIL HEIGHTS NSW 2486,Council,PAID,ResDevt13,81.2,81.2,-81.2,7564642,
S94-15,Community Facilities,S94-15 - Community Facilities (Shirewide),485,0,,,,,485,DA21/0584,alterations and additions to an existing attached dual occupancy (Unit 2) and use of existing carport (Units 1 and 2),alterations and additions to an existing attached dual occup,1,Approved,2022-07-08,2022,902301,902301,KINGSCLIFF,Lot 2 SP 16509,2/2 Shell Street KINGSCLIFF NSW 2487,Council,LEVIED,ComFac15,485,485,485,12340291,
S94-04,Roads,S94-04 - Road Contribution Sector 07 Duranbah/Caba,28179.32,"DA17/0450 (Stg 1),DA17/0450 (Stg 2),DA17/0450 (Stg 3),DA17/0450 (Stg 4),DA17/0450 (Stg 5),DA17/0450 (Stg 2 as per recalc 11/6/19)JT,DA17/0450 (Stg 3 as per recalc 11/6/19)JT,DA17/0450 (Stg 4 as per recalc 11/6/19)JT,DA17/0450 (Stg 5 as per recalc 11/6/19)JT,DA17/0450 (Stg 2 as per recalc 4/9/2019)JT,DA17/0450 (Stg 4 as per recalc 4/9/2019)JT",,,,,1775,DA17/0450,4 lot subdivision with 4 attached dual occupancies and 6 pools in 5 stages,4 lot subdivision with 4 attached dual occupancies and 6 poo,4,Approved,2017-11-29,2017,747418,747418,KINGSCLIFF,Lot 56 DP 1145386,Cylinders Drive KINGSCLIFF NSW 2487,Council,LEVIED,Sector7_4,27667.32,27667.32,28179.32,9135155,"DA17/0450 (Stg 1),DA17/0450 (Stg 2),DA17/0450 (Stg 3),DA17/0450 (Stg 4),DA17/0450 (Stg 5),DA17/0450 (Stg 2 as per recalc 11/6/19)JT,DA17/0450 (Stg 3 as per recalc 11/6/19)JT,DA17/0450 (Stg 4 as per recalc 11/6/19)JT,DA17/0450 (Stg 5 as per recalc 11/6/19)JT,DA17/0450 (Stg 2 as per recalc 4/9/2019)JT,DA17/0450 (Stg 4 as per recalc 4/9/2019)JT"
S94-11,Community Facilities,S94-11 - Library Facilities,,,-619.86,0,,,0,DA20/0083,rural workers dwelling,rural workers dwelling,1,Approved,2021-05-10,2021,843825,843825,BYRRILL CREEK,Lot 6 DP 593989,178 Byrrill Creek Road BYRRILL CREEK NSW 2484,Council,PAID,ResDevt11,619.86,619.86,-619.86,11612446,
S94-11,Community Facilities,S94-11 - Library Facilities,,,-8265,0,,,0,DA15/0726,demolition of existing structures and the construction of a residential flat building comprising 13 units,demolition of existing structures and the construction of a ,13,Approved,2016-07-07,2016,675091,675091,TWEED HEADS,"Lot 24 DP 1285565
Being Lots 1-13 SP 105041",Ayana 24 McGregor Crescent TWEED HEADS NSW 2485,Council,PAID,ResDevt11,8265,8265,-8265,7683025,
S94-26,Open Space,S94-26 - Casual Open Space (Regional),1132,0,,,,,0,DA17/0326,two lot subdivision,two lot subdivision,2,Approved,2017-09-28,2017,743138,743138,TERRANORA,Lot 1 DP 872747,21 Winchelsea Way TERRANORA NSW 2486,Council,LEVIED,CasOS_26,1132,1132,1132,9075229,
S94-11,Community Facilities,S94-11 - Library Facilities,,,-16169,0,,,0,DA15/0312,"seven into 26 lot subdivision, 26 dwellings with a pool, two secondary dwellings and associated civil works - Stage 1 of 2","seven into 26 lot subdivision, 26 dwellings with a pool, two",26,Approved,2015-12-18,2015,662896,662896,KINGSCLIFF,Lot 351 DP 1162588,Seaside Drive KINGSCLIFF NSW 2487,Council,PAID,ResDevt11,16169,16169,-16169,7484382,
S94-12,Roads,S94-12 - Bus Shelters,,,-227,0,,,0,DA19/0084,"three attached dual occupancies (constructed in 3 stages, comprising an attached dual occupancy per stage)","three attached dual occupancies (constructed in 3 stages, co",3,Approved,2019-08-23,2019,804384,804384,KINGSCLIFF,"Lots 5-7 DP 25301
Subdivided into DP 1282885 - registered 1
2/04/2022",19 Sutherland Street KINGSCLIFF NSW 2487,Council,PAID,Over10ET,152,152,-227,10688189,
